community_id,student_id,bl_language,bl_mathematics
260,937,Letter,1-9
260,944,Word,10-99
219,840,Paragraph,Subtraction
242,1112,Paragraph,Subtraction
219,839,Word,10-99
184,79,Beginner,1-9
183,88,Letter,10-99
181,277,Paragraph,Subtraction
181,279,Letter,1-9
178,95,Beginner,Subtraction
178,95,Beginner,10-99
234,1242,Word,10-99
234,1242,Word,10-99
231,1226,Beginner,1-9
197,1249,Story,10-99
197,1249,Story,10-99
205,136,Paragraph,1-9
231,1227,Letter,1-9
205,139,Letter,1-9
242,1102,Letter,1-9
242,1113,Story,10-99
213,215,Word,10-99
197,1250,Letter,1-9
242,1231,Story,10-99
197,1251,Letter,10-99
242,1232,Story,10-99
250,264,Paragraph,10-99
234,1243,Letter,10-99
234,1243,Letter,10-99
197,1249,Story,10-99
225,716,Story,10-99
193,362,Word,10-99
197,1252,Letter,1-9
242,1233,Beginner,1-9
192,220,Letter,1-9
197,1253,Word,10-99
197,1253,Word,10-99
258,245,Letter,10-99
258,245,Letter,Subtraction
225,951,Paragraph,Division
189,326,Word,10-99
258,389,Word,10-99
197,1254,Letter,1-9
258,401,Letter,10-99
212,376,Beginner,1-9
258,406,Beginner,10-99
258,406,Beginner,10-99
255,1189,Word,10-99
255,1189,Word,Subtraction
212,378,Beginner,1-9
258,408,Letter,10-99
258,408,Letter,Subtraction
212,381,Beginner,1-9
212,384,Letter,1-9
212,388,Letter,1-9
212,390,Letter,1-9
255,1195,Word,10-99
255,1195,Word,Subtraction
233,979,Word,10-99
197,1255,Paragraph,Subtraction
204,489,Paragraph,10-99
245,411,Letter,1-9
245,411,Letter,1-9
204,492,Word,10-99
245,476,Beginner,1-9
245,476,Beginner,1-9
218,1168,Letter,Subtraction
218,1168,Letter,10-99
218,1168,Letter,1-9
245,487,Beginner,Beginner
245,487,Beginner,Beginner
245,487,Beginner,Beginner
245,488,Word,10-99
245,488,Word,1-9
245,490,Word,10-99
245,490,Word,1-9
256,440,Letter,1-9
213,249,Letter,1-9
256,441,Letter,10-99
234,1245,Letter,10-99
234,1245,Letter,10-99
218,1176,Letter,10-99
218,1176,Letter,1-9
262,1303,Paragraph,Beginner
204,517,Word,10-99
204,519,Word,1-9
204,522,Paragraph,10-99
197,1257,Letter,1-9
261,1159,Beginner,Beginner
261,1159,Beginner,Beginner
261,1159,Beginner,Subtraction
261,1159,Beginner,Beginner
218,1178,Word,10-99
218,1178,Word,Subtraction
230,545,Letter,10-99
230,545,Letter,Subtraction
230,545,Letter,10-99
230,546,Word,Division
218,1179,Word,10-99
230,558,Word,Division
234,1246,Letter,1-9
234,1246,Letter,1-9
197,1259,Letter,1-9
218,1181,Letter,10-99
218,1181,Letter,1-9
218,1170,Letter,10-99
218,1170,Letter,1-9
234,1247,Letter,1-9
234,1247,Letter,1-9
252,629,Letter,10-99
199,1064,Beginner,1-9
199,1064,Beginner,1-9
199,1066,Letter,10-99
199,1066,Letter,10-99
199,1067,Beginner,10-99
199,1067,Beginner,10-99
199,1068,Letter,1-9
199,1068,Letter,1-9
199,1068,Letter,1-9
234,1248,Letter,10-99
199,1069,Letter,10-99
199,1069,Letter,10-99
199,1069,Letter,10-99
199,1069,Letter,10-99
236,1054,Word,Subtraction
185,160,Paragraph,10-99
224,722,Word,10-99
222,741,Word,10-99
222,735,Paragraph,10-99
202,688,Word,10-99
246,641,Letter,1-9
242,1112,Story,Subtraction
261,767,Beginner,10-99
261,767,Beginner,Division
261,767,Beginner,Subtraction
246,644,Word,10-99
211,811,Paragraph,10-99
211,812,Paragraph,10-99
211,813,Paragraph,10-99
227,662,Word,10-99
234,1234,Story,Subtraction
234,1234,Story,Subtraction
234,1234,Story,Subtraction
261,767,Beginner,10-99
261,767,Beginner,Division
261,767,Beginner,Subtraction
234,1235,Story,10-99
234,1235,Story,10-99
203,774,Word,1-9
254,852,Story,10-99
254,852,Story,10-99
254,852,Story,10-99
254,852,Story,10-99
263,1133,Beginner,Subtraction
218,1168,Word,Subtraction
218,1168,Word,10-99
218,1168,Word,1-9
218,1170,Word,10-99
218,1170,Word,1-9
218,1174,Paragraph,Subtraction
218,1176,Word,10-99
218,1176,Word,1-9
234,1236,Story,Subtraction
234,1236,Story,Subtraction
255,1189,Paragraph,10-99
255,1189,Paragraph,Subtraction
234,1237,Story,Subtraction
234,1237,Story,Subtraction
260,935,Beginner,1-9
260,936,Letter,1-9
260,942,Word,10-99
260,943,Word,10-99
260,939,Letter,1-9
260,934,Beginner,10-99
260,941,Word,10-99
260,947,Paragraph,10-99
202,949,Letter,1-9
205,950,Paragraph,10-99
260,946,Paragraph,10-99
234,1237,Story,Subtraction
234,1237,Story,Subtraction
205,137,Story,10-99
255,963,Paragraph,Subtraction
238,976,Word,Subtraction
233,977,Word,Subtraction
233,978,Letter,10-99
234,1241,Paragraph,10-99
239,991,Word,10-99
239,991,Word,10-99
262,1305,Beginner,Division
234,1247,Letter,1-9
