community_id,student_id,manual_proficiency,test_type,Profile,Fluency Band
178,107,Beginner,Endline 1,Major Decoding,
180,609,Beginner,Baseline,Minor Decoding,
180,610,Beginner,Baseline,Minor Decoding,
180,611,Beginner,Baseline,Major Decoding,
180,614,Beginner,Baseline,Major Decoding,
181,114,Beginner,Baseline 2,Major Decoding,
182,36,Beginner,Baseline,Minor Decoding,
182,40,Beginner,Baseline,Major Decoding,
182,41,Beginner,Baseline,Minor Decoding,
182,42,Beginner,Baseline,Minor Decoding,
182,43,Beginner,Baseline,Minor Decoding,
182,49,Beginner,Baseline,Minor Decoding,
182,63,Beginner,Baseline,Minor Decoding,
182,1003,Beginner,Baseline,Minor Decoding,
182,60,Beginner,Endline 1,Minor Decoding,
182,63,Beginner,Endline 1,Minor Decoding,
182,63,Beginner,Endline 2,Minor Decoding,
183,93,Beginner,Baseline,Minor Decoding,
183,188,Beginner,Baseline,Minor Decoding,
183,93,Beginner,Endline 1,Minor Decoding,
184,79,Beginner,Baseline,Major Decoding,
184,155,Beginner,Baseline,Major Decoding,
184,159,Beginner,Baseline,Minor Decoding,
184,162,Beginner,Baseline,Major Decoding,
184,337,Beginner,Baseline,Major Decoding,
184,79,Beginner,Baseline 2,Major Decoding,
184,79,Beginner,Endline 1,Major Decoding,
184,155,Beginner,Endline 1,Major Decoding,
184,162,Beginner,Endline 1,Major Decoding,
184,162,Beginner,Endline 2,Major Decoding,
184,79,Beginner,Endline 3,Major Decoding,
185,168,Beginner,Baseline,Major Decoding,
185,171,Beginner,Baseline,Major Decoding,
186,54,Beginner,Baseline,Major Decoding,
186,57,Beginner,Baseline,Minor Decoding,
187,156,Beginner,Baseline,Minor Decoding,
187,194,Beginner,Baseline,Minor Mixed,
187,340,Beginner,Baseline,Major Decoding,
187,194,Beginner,Baseline 2,Major Decoding,
187,340,Beginner,Baseline 2,Major Decoding,
187,156,Beginner,Endline 1,Minor Decoding,
187,340,Beginner,Endline 1,Minor Decoding,
187,340,Beginner,Endline 2,Major Decoding,
187,340,Beginner,Endline 3,Major Decoding,
188,80,Beginner,Baseline,Minor Decoding,
188,85,Beginner,Baseline,Minor Decoding,
188,80,Beginner,Baseline 2,Major Decoding,
188,80,Beginner,Endline 1,Major Decoding,
188,85,Beginner,Endline 1,Major Decoding,
192,242,Beginner,Baseline,Minor Decoding,
192,248,Beginner,Baseline,Minor Decoding,
193,607,Beginner,Baseline,Major Decoding,
193,681,Beginner,Baseline,Major Decoding,
193,681,Beginner,Baseline 2,Major Decoding,
193,681,Beginner,Endline 1,Major Decoding,
178,94,Letter,Baseline,Major Decoding,
178,91,Letter,Endline 1,Major Decoding,
180,419,Letter,Baseline,Minor Mixed,
180,460,Letter,Baseline,Major Decoding,
180,608,Letter,Baseline,Minor Decoding,
180,460,Letter,Endline 1,Major Decoding,
180,609,Letter,Endline 1,Minor Decoding,
180,610,Letter,Endline 1,Major Decoding,
180,611,Letter,Endline 1,Major Mixed,
180,614,Letter,Endline 1,Major Decoding,
181,205,Letter,Baseline,Major Decoding,
181,279,Letter,Baseline,Major Decoding,
181,339,Letter,Baseline,Minor Phonetic,
181,116,Letter,Baseline 2,Minor Decoding,
181,121,Letter,Baseline 2,Major Decoding,
181,205,Letter,Baseline 2,Minor Decoding,
181,339,Letter,Baseline 2,Minor Decoding,
181,114,Letter,Endline 1,Major Decoding,
181,116,Letter,Endline 1,Major Decoding,
181,279,Letter,Endline 1,Major Decoding,
181,114,Letter,Endline 2,Major Mixed,
181,116,Letter,Endline 2,Major Decoding,
181,232,Letter,Endline 2,Minor Decoding,
181,279,Letter,Endline 2,Major Decoding,
181,279,Letter,Endline 3,Major Decoding,
182,34,Letter,Baseline,Minor Mixed,
182,37,Letter,Baseline,Major Decoding,
182,39,Letter,Baseline,Major Phonetic,
182,46,Letter,Baseline,Major Decoding,
182,42,Letter,Baseline 2,Minor Decoding,
182,43,Letter,Baseline 2,Minor Decoding,
182,36,Letter,Endline 1,Major Decoding,
182,37,Letter,Endline 1,Major Decoding,
182,41,Letter,Endline 1,Minor Decoding,
182,40,Letter,Endline 2,Major Decoding,
182,41,Letter,Endline 2,Minor Decoding,
