community_id,id,grade
245,477,4
214,496,4
249,423,3
181,339,5
251,299,5
228,349,3
189,329,3
208,459,3
249,432,3
206,387,5
219,414,3
228,359,3
214,497,3
256,441,3
256,450,5
245,486,5
212,378,3
177,309,3
214,498,3
212,405,4
242,369,4
208,468,5
204,290,3
189,319,3
214,499,3
182,33,5
177,300,4
206,370,3
177,310,3
228,350,3
245,487,5
249,433,4
214,502,5
203,291,3
189,330,3
258,406,4
219,415,3
214,503,4
256,442,3
256,451,5
214,500,5
180,460,3
206,397,4
208,469,5
181,360,4
187,340,3
212,388,4
242,379,3
214,504,3
204,478,4
214,501,4
251,320,4
249,424,3
204,519,5
225,511,5
193,407,3
189,331,5
181,341,5
245,479,3
258,389,4
251,311,3
208,434,3
243,513,4
189,321,3
219,416,4
208,470,5
206,371,3
256,443,3
256,452,5
214,505,3
208,461,4
243,516,4
193,361,4
228,351,4
203,292,5
245,488,5
177,301,4
249,425,3
206,380,4
212,398,4
209,462,4
177,312,3
181,121,4
189,322,4
225,342,3
212,381,3
193,362,4
203,293,3
204,489,4
249,426,3
208,471,5
219,417,5
256,453,5
181,352,5
212,390,3
189,332,3
242,372,5
258,408,5
251,302,4
249,435,3
250,506,4
207,130,3
207,131,3
207,133,3
213,444,3
204,480,4
209,472,4
245,481,3
212,400,3
250,265,3
188,333,5
181,343,5
208,463,4
228,353,4
177,313,3
245,409,3
219,418,5
249,427,3
206,373,3
180,454,5
256,445,4
177,303,4
249,436,3
245,490,5
207,134,3
207,132,3
207,135,3
207,282,4
207,283,4
189,323,4
250,507,3
180,363,5
208,464,4
177,314,3
204,473,3
185,334,4
249,437,3
250,508,3
228,354,5
219,410,3
206,383,4
249,428,3
256,446,4
251,294,3
256,455,4
206,392,3
204,482,4
181,344,5
251,304,5
258,401,4
207,284,4
207,285,4
207,286,4
207,287,5
207,288,5
245,491,5
180,419,3
189,324,5
251,295,4
226,209,5
209,465,4
212,402,4
251,325,3
177,305,3
204,514,5
245,411,4
204,517,5
193,365,3
209,474,5
219,420,5
208,429,3
251,315,4
256,447,4
256,456,5
212,384,3
245,483,3
228,345,3
207,289,5
212,393,4
206,375,3
228,355,5
184,335,3
204,492,4
249,438,3
224,509,3
206,394,3
249,430,3
189,326,5
219,412,3
251,306,4
228,346,5
185,336,3
243,520,4
243,512,3
180,493,4
249,439,3
219,421,4
251,316,5
243,521,5
243,515,4
212,376,3
251,296,3
208,466,4
256,448,4
225,510,5
209,475,5
243,518,4
206,385,5
204,457,3
228,356,4
245,484,5
251,297,4
250,266,3
256,449,5
182,37,5
245,476,4
184,337,3
189,327,5
219,422,5
177,307,3
193,413,3
212,395,3
256,440,3
228,347,4
180,377,4
189,317,3
214,494,5
182,34,5
212,404,3
214,495,5
209,458,4
242,367,4
209,467,4
208,431,3
182,35,5
204,485,4
228,357,3
182,36,4
188,51,5
182,44,5
182,38,5
185,56,3
186,54,3
182,41,3
182,49,3
182,39,4
188,62,4
182,43,3
188,48,4
182,45,4
186,52,5
182,42,3
185,67,4
184,61,3
184,58,3
184,65,4
186,50,5
184,47,4
188,66,4
182,40,3
182,60,3
182,46,5
186,53,3
186,57,3
186,59,5
182,63,3
183,93,4
188,86,5
188,87,3
183,90,3
188,72,5
185,68,3
185,74,3
178,96,3
184,79,5
188,75,4
188,85,4
188,83,4
185,82,4
184,78,3
188,80,3
188,84,4
188,77,4
185,76,3
198,81,5
183,89,5
186,73,5
178,91,3
178,94,3
178,92,3
178,95,3
218,111,4
181,117,4
211,119,3
181,118,4
178,104,5
178,101,4
181,115,4
229,123,3
178,99,4
183,110,3
178,105,5
230,122,4
178,97,4
178,103,5
229,124,3
178,107,5
211,120,3
181,114,4
181,116,4
178,102,4
183,108,5
181,113,3
183,109,5
178,106,5
205,145,4
205,146,3
178,98,4
178,100,4
205,144,4
205,149,4
205,148,3
205,151,4
205,137,5
229,127,4
229,125,3
205,143,4
205,139,4
186,153,4
229,128,5
186,152,4
229,129,4
186,154,4
205,136,4
205,138,5
205,150,3
205,142,4
205,140,4
205,141,4
229,126,4
205,147,4
185,158,4
185,160,5
184,170,5
192,163,4
185,171,4
185,166,4
185,168,3
187,161,5
190,177,4
190,176,4
187,164,4
190,172,3
190,174,4
184,162,5
184,159,5
187,156,3
190,182,5
190,178,4
184,155,4
190,179,5
190,183,5
190,180,5
186,157,4
192,165,5
190,173,3
190,181,5
190,175,4
184,167,5
185,32,3
221,202,3
221,195,5
183,188,3
187,191,4
213,208,4
187,190,4
187,187,5
181,205,5
221,212,3
221,196,5
213,210,4
190,184,5
221,199,5
221,206,3
221,197,4
187,204,4
192,193,5
183,192,4
226,211,4
221,200,3
192,201,4
221,203,4
221,207,3
187,194,4
192,189,5
187,185,5
221,198,4
226,217,5
213,240,3
226,231,4
183,213,5
226,237,5
226,236,5
183,241,4
226,225,4
221,216,4
221,229,5
213,218,4
213,226,4
226,219,5
226,234,5
226,221,4
226,227,5
226,214,5
226,239,3
213,235,4
192,220,5
213,223,4
221,233,3
213,215,4
221,222,3
213,228,4
226,224,3
213,238,3
192,263,5
250,261,4
192,268,4
258,267,4
258,253,3
258,246,3
192,242,3
213,250,3
250,262,3
258,247,5
258,255,5
192,248,5
213,251,3
181,232,5
250,258,4
183,244,3
250,264,4
258,257,3
258,270,3
258,269,3
250,259,3
250,254,4
258,252,5
183,243,3
213,249,3
250,260,4
250,256,3
258,245,3
251,318,5
228,358,3
181,279,5
258,271,5
207,280,3
181,276,5
206,368,3
258,273,3
187,338,5
258,272,3
192,275,5
177,298,4
192,274,4
192,278,5
189,328,4
192,281,3
181,277,5
228,348,5
251,308,4
243,523,5
241,535,4
241,530,3
230,543,4
241,539,5
243,527,5
204,522,5
230,547,4
241,532,3
243,524,5
230,546,4
241,541,5
241,537,4
243,525,5
243,528,5
204,526,5
241,536,4
241,529,3
241,533,4
230,544,4
241,540,5
241,534,4
241,542,5
230,548,4
230,545,4
241,531,3
241,538,4
230,561,4
230,553,5
230,555,5
183,566,5
203,571,3
230,558,5
230,554,5
203,562,3
203,565,5
203,563,3
203,569,3
230,552,5
203,572,4
230,560,5
203,573,4
230,551,5
203,567,3
230,557,5
203,568,4
203,570,4
203,564,3
230,550,5
230,556,5
230,549,4
207,574,3
230,559,5
207,584,4
207,582,4
244,593,4
207,588,5
207,579,3
244,599,5
207,576,3
244,596,4
207,585,4
207,580,3
207,583,4
244,594,4
207,587,5
244,591,3
207,577,3
207,581,4
207,575,3
244,589,3
244,597,5
244,595,4
244,592,4
207,586,5
244,590,3
207,578,3
244,598,5
244,602,5
215,615,4
244,603,5
193,605,5
180,613,4
180,612,4
193,606,3
215,621,4
180,611,3
180,614,3
215,619,5
215,617,5
215,616,5
215,620,5
215,618,3
180,608,3
244,601,5
180,609,5
244,600,5
252,624,3
252,625,4
252,626,3
252,627,5
193,607,3
215,623,3
215,622,4
193,604,3
180,610,4
252,628,5
252,629,3
246,646,3
